Name,Alias,Nationality,Designation,Sanction Type,Source
Ismail Abdul Salah HANIYA,HANIYA,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mohammed ABU TEIR,ABU TAIR,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Jamileh Abdullah AL-SHANTI,EL-SHANTI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mohammed Jamal NU'MAN ALAEDDIN,ALA AL DIN,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Yasser Daoud MANSOUR,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Khalil Musa RABAI,RABBAI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Huda Naim AL-QREINAWI,AL QRENAWI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mahmoud Ahmad AL-RAMAHI,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mahmoud Khaled ZAHHAR,AL ZAHAR,Palestinian,Individual,"NS-PLC, SDGT",USOFAC-Consolidated
Abdul Fattah HASAN DUKHAN,HASAN DOUKHAN,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Ibrahim Mohammed DAHBOUR,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mariam Mahmoud SALEH,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Fathi Mohammed QAR'AWI,QARAWI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Anwar Mohammed ZBOUN,AL-ZBOUN,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Imad Mahmoud NOFAL,NAWFAL,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Omar Mahmoud MATAR,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Muna Salim Saleh MANSOUR,MANSOUR,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Yahia Abdul Aziz AL-ABADSAH,EL ABADSA,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mohammed Maher Yousef BADER,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Ayman Hussein DARAGHMEH,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Fathi Ahmad Mohammad HAMMAD,HAMMAD,Unknown,Individual,"NS-PLC, SDGT",USOFAC-Consolidated
Mariam Mohammed FARHAT,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Sayyed Salem ABU MSAMEH,ABU MUSAMEH,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Marwan Mohammed ABU RAS,ABOU RAAS,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Samira Abdullah HALAYQAH,HALAYQA,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Jamal Ismail ISKEIK,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Ali Salim ROUMANIN,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Ahmad Yousef ABU HALABIYYE,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Abdul Jaber Mustafa FUQAHA,None,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Aziz DWEIK,DWAIK,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Azzam SALHAB,SALHAB,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Nizar RAMADAN,RAMADAN,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Nayef RJOUB,RAJOUB,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Samir AL-QADI,AL-QADI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mohammed ABU JHEISHEH,ABU JHESHEH,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Hatem QFEISHEH,KAFEESHEH,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Basem ZA'ARIR,ZAAREER,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Mohammed AL-TAL,AL-TAL,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Daoud ABU SEIR,ABU SAIR,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Hamid Jabir KHUDAIR,KHUDAIR,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Husni Bourini YASIN,YASIN,Unknown,Individual,NS-PLC,USOFAC-Consolidated
Riyad Ali AMLI,AMLI,Unknown,Individual,NS-PLC,USOFAC-Consolidated
