Name,Alias,Nationality,Designation,Sanction Type,Source
AEROCARIBBEAN AIRLINES,AERO-CARIBBEAN,Unknown,Entity,CUBA,USOFAC-SDN
"ANGLO-CARIBBEAN CO., LTD.",AVIA IMPORT,Unknown,Entity,CUBA,USOFAC-SDN
BANCO NACIONAL DE CUBA,BNC,Unknown,Entity,CUBA,USOFAC-SDN
BOUTIQUE LA MAISON,None,Unknown,Entity,CUBA,USOFAC-SDN
CASA DE CUBA,None,Unknown,Entity,CUBA,USOFAC-SDN
"CECOEX, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
CIMEX,None,Unknown,Entity,CUBA,USOFAC-SDN
CIMEX IBERICA,None,Unknown,Entity,CUBA,USOFAC-SDN
"CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
"COMERCIAL IBEROAMERICANA, S.A.",COIBA,Unknown,Entity,CUBA,USOFAC-SDN
"COMERCIAL CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CRYMSA,Unknown,Entity,CUBA,USOFAC-SDN
COMERCIALIZACION DE PRODUCTOS VARIOS,COPROVA,Unknown,Entity,CUBA,USOFAC-SDN
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CIMEX,Unknown,Entity,CUBA,USOFAC-SDN
"CORPORACION CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
COTEI,None,Unknown,Entity,CUBA,USOFAC-SDN
"CRYMSA - ARGENTINA, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
CUBACANCUN CIGARS AND GIFT SHOPS,None,Unknown,Entity,CUBA,USOFAC-SDN
CUBAEXPORT,None,Unknown,Entity,CUBA,USOFAC-SDN
CUBAFRUTAS,None,Unknown,Entity,CUBA,USOFAC-SDN
CUBAN CIGARS TRADE,None,Unknown,Entity,CUBA,USOFAC-SDN
CUBANATUR,None,Unknown,Entity,CUBA,USOFAC-SDN
CUBATABACO,None,Unknown,Entity,CUBA,USOFAC-SDN
"CUMEXINT, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
"DELVEST HOLDING, S.A.",DELVEST HOLDING COMPANY,Unknown,Entity,CUBA,USOFAC-SDN
EDICIONES CUBANAS,None,Unknown,Entity,CUBA,USOFAC-SDN
"EDYJU, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
EMPRESA CUBANA DE AVIACION,CUBANA AIRLINES,Unknown,Entity,CUBA,USOFAC-SDN
EMPRESA CUBANA DE PESCADOS Y MARISCOS,CARIBEX,Unknown,Entity,CUBA,USOFAC-SDN
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,CUBATUR,Unknown,Entity,CUBA,USOFAC-SDN
ETCO INTERNATIONAL COMMODITIES LTD.,None,Unknown,Entity,CUBA,USOFAC-SDN
"ETCO INTERNATIONAL COMPANY, LIMITED",None,Unknown,Entity,CUBA,USOFAC-SDN
"GALAX TRADING CO., LTD.",GALAX INC.,Unknown,Entity,CUBA,USOFAC-SDN
HAVIN BANK LIMITED,"HAVANA INTERNATIONAL BANK, LTD",Unknown,Entity,CUBA,USOFAC-SDN
HAVANATUR,None,Unknown,Entity,CUBA,USOFAC-SDN
INSTITUTO NACIONAL DE TURISMO DE CUBA,None,Unknown,Entity,CUBA,USOFAC-SDN
INTERCONSULT,None,Unknown,Entity,CUBA,USOFAC-SDN
"KAVE, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
LA EMPRESA CUBANA DE FLETES,CUFLET,Unknown,Entity,CUBA,USOFAC-SDN
"LEVERAGE, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
NIREF,None,Unknown,Entity,CUBA,USOFAC-SDN
NORDSTRAND LTD.,None,Unknown,Entity,CUBA,USOFAC-SDN
NORDSTRAND MARITIME AND TRADING COMPANY,None,Unknown,Entity,CUBA,USOFAC-SDN
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,None,Unknown,Entity,CUBA,USOFAC-SDN
"PESCABRAVA, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
PRELASA,None,Unknown,Entity,CUBA,USOFAC-SDN
PRENSA LATINA CANADA LTD.,None,Unknown,Entity,CUBA,USOFAC-SDN
PRENSA LATINA,None,Unknown,Entity,CUBA,USOFAC-SDN
"SERVINAVES, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
"TROBER, S.A.","TROVER, S.A.",Unknown,Entity,CUBA,USOFAC-SDN
TROPIC TOURS GMBH,TROPICANA TOURS GMBH,Unknown,Entity,CUBA,USOFAC-SDN
"VIAJES GUAMA, S.A.",None,Unknown,Entity,CUBA,USOFAC-SDN
VINALES TOURS,None,Unknown,Entity,CUBA,USOFAC-SDN
Abu ABBAS,ZAYDAN,Unknown,Individual,SDGT,USOFAC-SDN
Shaykh Umar Abd AL RAHMAN,None,Unknown,Individual,SDGT,USOFAC-SDN
Dr. Ayman AL ZAWAHIRI,AL-ZAWAHIRI,Unknown,Individual,SDGT,USOFAC-SDN
Abboud Abdul Latif Hassan AL-ZOMOR,ZUMAR,Egypt,Individual,SDGT,USOFAC-SDN
Abd Al Aziz AWDA,None,Unknown,Individual,SDGT,USOFAC-SDN
Shaykh Muhammad Husayn FADLALLAH,None,Unknown,Individual,SDGT,USOFAC-SDN
